datetime,savoy_flow,savoy_height,osage_creek_flow,osage_creek_height,hwy_16_flow,hwy_16_height,hwy_59_height,lake_francis_height,watts_ok_flow,watts_ok_height
2026-03-30 20:30:00+00:00,38.5,2.23,118.0,2.73,232.0,6.15,2.98,910.29,405.0,2.79
2026-03-30 20:45:00+00:00,38.5,2.23,118.0,2.73,232.0,6.15,2.97,910.41,,
2026-03-30 21:00:00+00:00,38.5,2.23,118.0,2.73,232.0,6.15,2.99,910.48,324.0,2.53
2026-03-30 21:15:00+00:00,38.5,2.23,118.0,2.73,234.0,6.16,2.98,910.52,,
2026-03-30 21:30:00+00:00,38.5,2.23,118.0,2.73,232.0,6.15,2.97,910.56,312.0,2.49
2026-03-30 21:45:00+00:00,38.5,2.23,118.0,2.73,232.0,6.15,2.97,910.48,,
2026-03-30 22:00:00+00:00,38.5,2.23,118.0,2.73,232.0,6.15,2.98,910.36,401.0,2.78
2026-03-30 22:15:00+00:00,38.5,2.23,118.0,2.73,232.0,6.15,2.99,910.29,,
2026-03-30 22:30:00+00:00,39.4,2.24,118.0,2.73,229.0,6.14,2.98,910.22,460.0,2.95
2026-03-30 22:45:00+00:00,38.5,2.23,118.0,2.73,229.0,6.14,2.98,910.17,,
2026-03-30 23:00:00+00:00,38.5,2.23,116.0,2.72,232.0,6.15,2.98,910.12,467.0,2.97
2026-03-30 23:15:00+00:00,39.4,2.24,118.0,2.73,226.0,6.13,2.99,910.08,,
2026-03-30 23:30:00+00:00,39.4,2.24,118.0,2.73,232.0,6.15,2.99,910.08,457.0,2.94
2026-03-30 23:45:00+00:00,39.4,2.24,118.0,2.73,229.0,6.14,2.98,910.1,,
2026-03-31 00:00:00+00:00,39.4,2.24,118.0,2.73,234.0,6.16,2.98,910.14,392.0,2.75
2026-03-31 00:15:00+00:00,39.4,2.24,118.0,2.73,232.0,6.15,2.97,910.16,,
2026-03-31 00:30:00+00:00,39.4,2.24,118.0,2.73,232.0,6.15,2.97,910.19,369.0,2.68
2026-03-31 00:45:00+00:00,40.4,2.25,118.0,2.73,232.0,6.15,2.97,910.19,,
2026-03-31 01:00:00+00:00,39.4,2.24,118.0,2.73,234.0,6.16,2.97,910.21,369.0,2.68
2026-03-31 01:15:00+00:00,40.4,2.25,116.0,2.72,237.0,6.17,2.97,910.22,,
2026-03-31 01:30:00+00:00,40.4,2.25,116.0,2.72,237.0,6.17,2.97,910.23,372.0,2.69
2026-03-31 01:45:00+00:00,40.4,2.25,116.0,2.72,237.0,6.17,2.97,910.24,,
2026-03-31 02:00:00+00:00,40.4,2.25,116.0,2.72,237.0,6.17,2.96,910.24,372.0,2.69
2026-03-31 02:15:00+00:00,41.4,2.26,116.0,2.72,234.0,6.16,2.96,910.25,,
2026-03-31 02:30:00+00:00,40.4,2.25,116.0,2.72,237.0,6.17,2.97,910.25,375.0,2.7
2026-03-31 02:45:00+00:00,41.4,2.26,116.0,2.72,234.0,6.16,2.96,910.25,,
2026-03-31 03:00:00+00:00,41.4,2.26,116.0,2.72,234.0,6.16,2.96,910.25,379.0,2.71
2026-03-31 03:15:00+00:00,41.4,2.26,116.0,2.72,234.0,6.16,2.96,910.25,,
2026-03-31 03:30:00+00:00,40.4,2.25,116.0,2.72,232.0,6.15,2.96,910.26,382.0,2.72
2026-03-31 03:45:00+00:00,41.4,2.26,116.0,2.72,234.0,6.16,2.97,910.26,,
2026-03-31 04:00:00+00:00,41.4,2.26,116.0,2.72,237.0,6.17,2.96,910.26,385.0,2.73
2026-03-31 04:15:00+00:00,41.4,2.26,116.0,2.72,232.0,6.15,2.96,910.26,,
2026-03-31 04:30:00+00:00,40.4,2.25,116.0,2.72,234.0,6.16,2.96,910.26,385.0,2.73
2026-03-31 04:45:00+00:00,41.4,2.26,116.0,2.72,234.0,6.16,2.95,910.26,,
2026-03-31 05:00:00+00:00,41.4,2.26,116.0,2.72,232.0,6.15,2.95,910.26,388.0,2.74
2026-03-31 05:15:00+00:00,41.4,2.26,115.0,2.71,237.0,6.17,2.95,910.26,,
2026-03-31 05:30:00+00:00,41.4,2.26,115.0,2.71,237.0,6.17,2.96,910.26,388.0,2.74
2026-03-31 05:45:00+00:00,40.4,2.25,116.0,2.72,237.0,6.17,2.97,910.27,,
2026-03-31 06:00:00+00:00,40.4,2.25,116.0,2.72,232.0,6.15,2.97,910.26,388.0,2.74
2026-03-31 06:15:00+00:00,40.4,2.25,116.0,2.72,237.0,6.17,2.96,910.27,,
2026-03-31 06:30:00+00:00,41.4,2.26,116.0,2.72,234.0,6.16,2.96,910.26,382.0,2.72
2026-03-31 06:45:00+00:00,41.4,2.26,116.0,2.72,232.0,6.15,2.96,910.26,,
2026-03-31 07:00:00+00:00,40.4,2.25,116.0,2.72,237.0,6.17,2.97,910.26,375.0,2.7
2026-03-31 07:15:00+00:00,40.4,2.25,116.0,2.72,229.0,6.14,2.97,910.26,,
2026-03-31 07:30:00+00:00,40.4,2.25,116.0,2.72,232.0,6.15,2.96,910.26,375.0,2.7
2026-03-31 07:45:00+00:00,40.4,2.25,116.0,2.72,229.0,6.14,2.97,910.26,,
2026-03-31 08:00:00+00:00,40.4,2.25,116.0,2.72,232.0,6.15,2.97,910.26,379.0,2.71
2026-03-31 08:15:00+00:00,40.4,2.25,115.0,2.71,229.0,6.14,2.97,910.26,,
2026-03-31 08:30:00+00:00,41.4,2.26,115.0,2.71,232.0,6.15,2.95,910.26,379.0,2.71
2026-03-31 08:45:00+00:00,40.4,2.25,115.0,2.71,229.0,6.14,2.97,910.27,,
2026-03-31 09:00:00+00:00,40.4,2.25,115.0,2.71,232.0,6.15,2.97,910.26,372.0,2.69
2026-03-31 09:15:00+00:00,41.4,2.26,115.0,2.71,226.0,6.13,2.96,910.25,,
2026-03-31 09:30:00+00:00,40.4,2.25,115.0,2.71,232.0,6.15,2.97,910.27,375.0,2.7
2026-03-31 09:45:00+00:00,41.4,2.26,113.0,2.7,234.0,6.16,2.96,910.25,,
2026-03-31 10:00:00+00:00,41.4,2.26,112.0,2.69,232.0,6.15,2.97,910.26,392.0,2.75
2026-03-31 10:15:00+00:00,41.4,2.26,112.0,2.69,232.0,6.15,2.97,910.25,,
